Order_id,Order_date,Customer Name,Address,Restaurant ID,Food_Item,QTY,Delivery_Time_Min,Order_Amt,Pay_Mode,Rtng,Deliry_Status,code,col 1
ORD0016,11-13-2024,Divya Mishra,"Jaipur, Rajasthan",R022,Biriyani,2,84 min,442.6,Cash,2,cancel,6642,
ORD0017,12-25-2023,Anjali Rao,"Kolkata, West Bengal",R030,Dal Makhani,4,83 min,704.04,Card,2,Delivered,9774,
ORD0017,12-25-2023,Anjali Rao,"Kolkata, West Bengal",R030,Dal Makhani,4,83 min,704.04,Card,2,Delivered,9774,
ORD0018,11-11-2023,  Anita Singh,"Patna, Bihar",R015,pizza,4,80 min,1527.12,UPI,4,Cancelled,9592,
ORD0019,02-11-2024,Meera Dubey,"Kolkata, West Bengal",R007,Samosa,25,62 min,121.74,Card,5,delivered,6788,A
ORD0020,27-11-2024,Manoj Kumar,"Pune, Maharashtra",R020,Fried Rice,5,70 min,1269.85,Card,3,Pending,4024,
ORD0021,13-08-2023,  Arjun Menon,"Patna, Bihar",R019,Biryani,2,71 min,371.3,UPI,2,Cancelled,7946,
ORD0022,24-10-2023,Kiran Patil,"Kolkata, West Bengal",R014,White Sauce Pasta,50,21 min,699.98,Card,5,Cancelled,7920,
ORD0023,21-01-2024,Rahul Sharma,"Bhopal, Madhya Pradesh",R030,Pasta,1,89 min,271.58,Cash,2,Delivered,3568,
ORD0023,21-01-2024,Rahul Sharma,"Bhopal, Madhya Pradesh",R030,Pasta,1,89 min,271.58,Cash,2,Delivered,3568,
ORD0024,06-28-2023,Rekha Nambiar,"Indore, Madhya Pradesh",R025,Dosa,5,31 min,887,Card,5,Delivered,8109,
ORD0025,11-06-2023,  Ravi Pillai,"Hyderabad, Telangana",R010,Tacos,40,38 min,223.22,Cash,2,Cancelled,2540,
ORD0026,19-10-2024,  Ravi Pillai,"Ahmedabad, Gujarat",R004,Chole Bhature,2,82 min,277.8,UPI,5,Cancelled,6114,
ORD0027,09-11-2023,Meera Dubey,"Chennai, Tamil Nadu",R016,Dal Makhani,35,50 min,260.14,Card,5,Delivered,9139,
ORD0028,16-01-2023,Rekha Nambiar,"Indore, Madhya Pradesh",R011,Dal Makhani,1,36 min,226.83,UPI,4,Delivered,7959,
ORD0029,15-09-2023,Sunita Sawant,"Indore, Madhya Pradesh",R009,Noodles,2,65 min,458.44,Cash,2,Cancelled,6800,
ORD0030,06-20-2023, Vijay Naik ,"Ahmedabad, Gujarat",R020,Hakka Noodles,3,33 min,584.58,Card,4,Cancelled,7074,
ORD0031,27-07-2024, Harish Shetty ,"Bhopal, Madhya Pradesh",R029,Chole Bhature,4,44 min,436.04,Cash,5,Pending,5398,
ORD0032,05-25-2023,Kiran Patil  ,"Mumbai, Maharashtra",R029,PIZZA,2,64 min,523.5,UPI,3,Cancelled,9882,
ORD0033,02-27-2025,  Nisha Agarwal,"Pune, Maharashtra",R007,Dal Makhani,6,71 min,1398.48,UPI,1,delivered,4377,
ORD0034,16-07-2024,  Harish Shetty,"Nagpur, Maharashtra",R030,Pasta,4,87 min,817.12,Card,5,Pending,9491,
ORD0035,03-11-2024,  Kavita Reddy,"Chennai, Tamil Nadu",R014,Idli,3,37 min,316.8,Card,3,Cancelled,4077,
ORD0036,09-06-2023, Pooja Desai ,"Surat, Gujarat",R016,PIZZA,1,73 min,436.78,Cash,4,Cancelled,6448,
ORD0037,28-10-2024,Suresh Nair,"Pune, Maharashtra",R007,Manchurian,1,60 min,267.52,Cash,3,Pending,7544,
ORD0038,01-19-2024,Suresh Nair,"Surat, Gujarat",R008,Burgers,6,57 min,1249.98,Card,3,Delivered,3638,
ORD0039,12-07-2024,  Vikas Mehta,"Ahmedabad, Gujarat",R028,Fried Rice,25,79 min,515.68,UPI,1,Delivered,3671,
ORD0040,10-04-2023,Anita Singh,"Nagpur, Maharashtra",R008,Burgers,5,86 min,1256.9,Cash,5,Cancelled,9584,
ORD0041,02-11-2024,Arjun Menon,"Bhopal, Madhya Pradesh",R010,biryani,5,90 min,1591.8,UPI,1,Delivered,6041,
ORD0042,22-01-2024,Lalit Yadav,"Bangalore, Karnataka",R025,Idli,5,75 min,316.75,UPI,1,Pending,1596,
ORD0043,02-18-2024,Ravi Pillai,"Bangalore, Karnataka",R012,Dal Makhani,4,43 min,791.04,UPI,5,cancel,7409,
,,,,,,,,,,,,,
ORD0044,08-02-2024,Anita Singh,"Chennai, Tamil Nadu",R011,Pizza,6,79 min,3336.9,Cash,5,Delivered,8667,
ORD0045,30-10-2024,Sneha Kulkarni,"Jaipur, Rajasthan",R021,Samosa,2,35 min,149.5,Card,2,Delivered,1699,
ORD0046,29-05-2023,Rahul Sharma  ,"Mumbai, Maharashtra",R007,Pizza,4,69 min,1274.16,Card,2,Pending,9013,
ORD0047,25-02-2024,Anita Singh  ,"Bangalore, Karnataka",R010,Biryani,1,89 min,234.27,Card,4,Cancelled,9352,
ORD0048,11-06-2024,Kavita Reddy,"Pune, Maharashtra",R026,Biriyani,5,65 min,1132.2,Card,4,Cancelled,6396,X
ORD0049,26-01-2024, Rahul Sharma ,"Pune, Maharashtra",R015,Hakka Noodles,2,74 min,316.38,Cash,2,Cancelled,4344,
ORD0050,04-12-2024,  Anita Singh,"Nagpur, Maharashtra",R012,Fried Rice,2,30 min,515.48,UPI,2,cancel,8688,
ORD0051,05-16-2024, Pankaj Tiwari ,"Chennai, Tamil Nadu",R012,Burgers,6,39 min,1462.38,UPI,2,cancel,3346,
ORD0052,19-03-2023,Rahul Sharma,"Surat, Gujarat",R021,PIZZA,2,31 min,1006.54,Cash,3,Pending,8063,
ORD0053,17-08-2024,Ravi Pillai,"Jaipur, Rajasthan",R013,Tacos,5,24 min,902.55,Cash,1,Delivered,1173,
ORD0054,06-01-2024,Ravi Pillai  ,"Lucknow, Uttar Pradesh",R007,pizza,1,71 min,530.2,UPI,3,Delivered,8520,
ORD0055,29-10-2023,Sanjay Gupta  ,"Kolkata, West Bengal",R004,Burgr,2,57 min,414.02,Cash,3,Pending,3604,
ORD0056,11-10-2023,Deepa Iyer,"Bhopal, Madhya Pradesh",R028,Biryani,2,35 min,588.8,Cash,5,Cancelled,3320,
ORD0057,05-06-2023, Priya Patil ,"Pune, Maharashtra",R012,pizza,35,23 min,838.6,Cash,3,Delivered,8667,
ORD0058,06-27-2023,Lalit Yadav  ,"Ahmedabad, Gujarat",R010,Dal Makhani,3,31 min,810.18,Cash,4,delivered,1650,
ORD0059,09-06-2024,Priya Patil,"Pune, Maharashtra",R003,pizza,6,53 min,2427.6,Card,2,Pending,3956,
ORD0060,23-05-2024,Manoj Kumar  ,"Hyderabad, Telangana",R011,Biriyani,60,56 min,625.68,Cash,3,cancel,6155,
ORD0061,27-05-2023,Pooja Desai,"Mumbai, Maharashtra",R014,Idli,1,55 min,131.69,Card,1,Cancelled,7841,
ORD0062,20-03-2023,Deepa Iyer  ,"Nagpur, Maharashtra",R003,Burger,4,75 min,1128.92,Cash,3,Cancelled,5534,
ORD0063,26-07-2024,Sneha Kulkarni  ,"Delhi, Delhi",R017,Pizza,6,36 min,1945.38,UPI,3,Cancelled,4187,
ORD0064,23-02-2023,Pooja Desai  ,"Kolkata, West Bengal",R027,Hakka Noodles,3,23 min,510.48,Cash,3,Delivered,8875,
ORD0065,11-12-2023,Kavita Reddy,"Bangalore, Karnataka",R021,Biriyani,3,56 min,993.21,UPI,2,Delivered,3420,
ORD0066,25-08-2024,Lalit Yadav  ,"Kolkata, West Bengal",R024,Hakka Noodles,4,35 min,854,Card,3,Cancelled,2300,
ORD0067,14-12-2024,Rekha Nambiar,"Hyderabad, Telangana",R024,Dal Makhani,4,63 min,952.88,Cash,4,Pending,5437,
ORD0068,23-01-2025,  Vijay Naik,"Ahmedabad, Gujarat",R014,Idli,1,67 min,103.37,UPI,2,Pending,5940,
ORD0069,07-12-2023,Deepa Iyer  ,"Patna, Bihar",R029,PASTA,5,90 min,1767.7,UPI,2,Cancelled,7858,
ORD0070,24-11-2024,Nisha Agarwal,"Indore, Madhya Pradesh",R020,pasta,2,50 min,710.36,Cash,1,Cancelled,5560,
ORD0071,02-11-2023,Nisha Agarwal  ,"Mumbai, Maharashtra",R006,Burger,4,24 min,818.8,UPI,3,Pending,7551,
ORD0072,09-01-2025,Harish Shetty,"Indore, Madhya Pradesh",R001,Samosa,6,69 min,182.28,Card,1,cancel,9055,
ORD0073,15-10-2024,Kavita Reddy,"Hyderabad, Telangana",R024,biryani,4,22 min,1050.44,UPI,4,Delivered,3835,
ORD0074,12-03-2025,Tushar Shah,"Ahmedabad, Gujarat",R011,Biriyani,3,63 min,735.09,Cash,5,Pending,7859,
ORD0075,12-02-2025,  Vijay Naik,"Bangalore, Karnataka",R022,Spring Rolls,2,79 min,437.36,Cash,4,Delivered,2828,
ORD0076,15-11-2024,Pankaj Tiwari,"Kolkata, West Bengal",R020,PASTA,2,55 min,666.42,Card,3,delivered,6927,
ORD0077,07-07-2024,Kiran Patil,"Lucknow, Uttar Pradesh",R010,Paneer Tikka,1,78 min,267.26,Card,1,Pending,4514,
ORD0078,01-22-2025,Divya Mishra,"Surat, Gujarat",R020,Burgr,2,62 min,494.86,Card,1,Cancelled,2354,
ORD0079,03-08-2023,Neha Jain  ,"Jaipur, Rajasthan",R003,Biriyani,5,70 min,1397.45,Card,3,Pending,1477,
ORD0080,06-17-2023,Lalit Yadav  ,"Indore, Madhya Pradesh",R010,PIZZA,2,90 min,1036.74,UPI,1,Delivered,1378,
ORD0081,11-02-2023,Priya Patil  ,"Nagpur, Maharashtra",R026,Burgr,6,49 min,1673.88,UPI,3,Cancelled,5782,
ORD0082,09-09-2024, Rekha Nambiar ,"Kolkata, West Bengal",R011,Burgers,3,43 min,481.56,UPI,5,Delivered,3774,
ORD0083,16-01-2025, Lalit Yadav ,"Ahmedabad, Gujarat",R012,biryani,6,57 min,1298.52,UPI,1,Pending,7275,
ORD0084,20-11-2023,  Pankaj Tiwari,"Pune, Maharashtra",R002,Spring Rolls,2,58 min,324.14,Card,1,Cancelled,9926,
ORD0085,11-03-2023,Harish Shetty,"Bangalore, Karnataka",R023,Piza,4,45 min,1892.28,UPI,5,Cancelled,8013,
ORD0086,31-08-2023,  Lalit Yadav,"Kolkata, West Bengal",R002,Tacos,1,58 min,257.93,Cash,2,Cancelled,4323,
ORD0087,16-11-2023,Sneha Kulkarni,"Kolkata, West Bengal",R016,Burgers,4,40 min,577.8,UPI,2,Delivered,4939,
ORD0088,16-04-2024,Kiran Patil,"Pune, Maharashtra",R014,Biryani,2,71 min,493.4,Card,5,cancel,7935,
ORD0089,02-03-2023,  Sneha Kulkarni,"Hyderabad, Telangana",R003,pizza,4,42 min,1383.04,Card,4,delivered,1154,
ORD0090,14-10-2024,Anjali Rao,"Kolkata, West Bengal",R015,Samosa,6,68 min,411.18,Card,1,delivered,6104,
ORD0091,07-03-2024,Suresh Nair  ,"Delhi, Delhi",R017,Birny,6,30 min,1316.34,Card,3,Pending,7844,
ORD0092,03-02-2023, Vikas Mehta ,"Chennai, Tamil Nadu",R021,PASTA,4,31 min,1252.04,Cash,1,Pending,9307,
ORD0093,18-01-2023,Deepa Iyer,"Delhi, Delhi",R024,Chole Bhature,2,55 min,332.6,Card,4,Cancelled,6448,
ORD0094,05-28-2023,Pankaj Tiwari,"Bhopal, Madhya Pradesh",R030,Birny,5,61 min,1719.2,Card,3,Cancelled,7672,
ORD0095,21-05-2024,Nisha Agarwal,"Delhi, Delhi",R019,Spring Rolls,6,68 min,827.4,UPI,5,Cancelled,5554,
ORD0096,18-12-2024, Meera Dubey ,"Delhi, Delhi",R015,Dal Makhani,2,31 min,486.28,Card,3,Delivered,5471,
ORD0097,01-22-2024,Vijay Naik,"Ahmedabad, Gujarat",R002,Tacos,4,53 min,866.44,UPI,3,Delivered,6594,
ORD0098,09-27-2023,Harish Shetty,"Hyderabad, Telangana",R029,PIZZA,4,84 min,1821.48,Cash,4,Delivered,8056,
ORD0099,18-04-2023, Pooja Desai ,"Lucknow, Uttar Pradesh",R028,Tacos,5,36 min,1027.8,Card,4,cancel,3094,
ORD0100,11-06-2023,Pooja Desai,"Pune, Maharashtra",R010,Fried Rice,6,81 min,1589.52,UPI,3,Delivered,7163,
ORD0101,25-01-2024,Amit Joshi,"Patna, Bihar",R028,Dosa,1,46 min,165.07,Cash,2,Cancelled,8724,
ORD0102,04-07-2024, Arjun Menon ,"Hyderabad, Telangana",R020,Biryani,5,90 min,1507.45,UPI,3,Cancelled,8656,
ORD0103,12-06-2023, Sneha Kulkarni ,"Patna, Bihar",R001,PIZZA,3,42 min,1323.57,Card,5,cancel,1008,
ORD0104,07-06-2023,Vikas Mehta  ,"Kolkata, West Bengal",R005,PASTA,6,86 min,1148.52,Card,2,cancel,7030,
ORD0105,09-07-2024,Divya Mishra,"Hyderabad, Telangana",R030,Piza,2,20 min,615.28,Card,4,Pending,6692,
,,,,,,,,,,,,,
ORD0106,17-05-2024,  Vikas Mehta,"Hyderabad, Telangana",R014,Burgers,1,63 min,273.62,Cash,1,Cancelled,4088,
ORD0107,24-04-2024,  Sneha Kulkarni,"Surat, Gujarat",R009,Pasta,2,68 min,503.04,Cash,4,Pending,7944,
ORD0108,03-04-2023,Meera Dubey  ,"Patna, Bihar",R010,Biryani,5,74 min,1005.4,Cash,4,Pending,7361,
ORD0109,09-07-2023, Kiran Patil ,"Patna, Bihar",R025,Pizza,1,42 min,307.59,UPI,2,Cancelled,4702,
ORD0110,13-05-2023,Rekha Nambiar,"Chennai, Tamil Nadu",R030,Chole Bhature,35,59 min,242.26,Cash,2,Delivered,8621,
ORD0111,02-07-2024,Tushar Shah  ,"Kolkata, West Bengal",R011,Birny,2,29 min,653.22,Card,3,cancel,6798,
ORD0112,26-03-2023,Pankaj Tiwari,"Bhopal, Madhya Pradesh",R008,Burgr,5,22 min,1284.65,Cash,5,Pending,5690,
ORD0113,20-12-2023,Priya Patil,"Delhi, Delhi",R014,White Sauce Pasta,3,87 min,1061.67,Card,4,Cancelled,2571,
ORD0114,27-09-2024,Anjali Rao,"Patna, Bihar",R012,Burgers,6,25 min,780.24,UPI,1,Delivered,8991,
ORD0115,25-02-2023,Kavita Reddy,"Bangalore, Karnataka",R011,pasta,2,31 min,363.72,Cash,3,Cancelled,4593,
ORD0116,17-10-2024,Ganesh Kadam,"Nagpur, Maharashtra",R027,pizza,5,81 min,2445.2,Card,5,Cancelled,1864,
ORD0117,13-09-2023,  Tushar Shah,"Mumbai, Maharashtra",R001,Biriyani,3,64 min,701.85,Cash,1,Delivered,2933,
ORD0118,18-06-2024,Nisha Agarwal,"Chennai, Tamil Nadu",R013,Pizza,2,63 min,905.56,Cash,4,Cancelled,4343,
ORD0119,02-10-2023,Ganesh Kadam,"Pune, Maharashtra",R017,White Sauce Pasta,2,81 min,508.9,Cash,3,Delivered,7018,
ORD0120,22-01-2023,Rohit Verma,"Jaipur, Rajasthan",R023,Biryani,5,31 min,1398.95,UPI,4,Pending,8103,
ORD0121,24-12-2024,Sanjay Gupta,"Patna, Bihar",R016,Dosa,6,48 min,1000.08,UPI,4,Delivered,7602,
ORD0122,20-03-2024,Rekha Nambiar,"Surat, Gujarat",R020,Samosa,4,63 min,128.96,Card,3,Pending,2951,
ORD0123,04-01-2024,Arjun Menon  ,"Indore, Madhya Pradesh",R008,Manchurian,5,57 min,1195.4,UPI,1,Delivered,8321,
ORD0124,11-28-2024,Ravi Pillai  ,"Chennai, Tamil Nadu",R004,Samosa,2,78 min,151.52,Cash,2,Delivered,9174,
ORD0125,12-18-2023,Kiran Patil,"Indore, Madhya Pradesh",R027,White Sauce Pasta,1,27 min,352,Cash,3,Pending,4882,
ORD0126,07-03-2024,Arjun Menon,"Nagpur, Maharashtra",R015,burger,5,54 min,1114.9,UPI,3,Pending,2209,
ORD0127,15-07-2023, Deepa Iyer ,"Indore, Madhya Pradesh",R006,burger,6,49 min,1558.86,UPI,5,Delivered,5999,
ORD0128,11-22-2024,Amit Joshi,"Lucknow, Uttar Pradesh",R015,Piza,2,49 min,1183.7,UPI,1,Cancelled,2573,
ORD0129,29-03-2025,  Pankaj Tiwari,"Pune, Maharashtra",R019,Dal Makhani,1,32 min,276.92,UPI,1,Cancelled,3663,
ORD0130,23-06-2024,Amit Joshi,"Hyderabad, Telangana",R012,Idli,4,25 min,346.96,Cash,3,Delivered,8576,
ORD0131,29-12-2023,  Pooja Desai,"Ahmedabad, Gujarat",R001,burger,6,38 min,1700.34,Cash,4,Pending,6187,
ORD0132,20-02-2023,Sunita Sawant,"Bhopal, Madhya Pradesh",R001,burger,5,84 min,647.25,Cash,4,Pending,7993,
ORD0133,02-12-2023,Priya Patil,"Kolkata, West Bengal",R012,pizza,3,26 min,959.07,Cash,2,Cancelled,2679,
ORD0134,26-08-2023,Harish Shetty,"Bangalore, Karnataka",R026,Dosa,5,67 min,683.7,Cash,1,delivered,7081,
ORD0135,05-17-2023,  Ravi Pillai,"Lucknow, Uttar Pradesh",R022,Burgers,5,71 min,852,Card,5,Cancelled,9976,
,,,,,,,,,,,,,
ORD0136,17-02-2024,Anjali Rao,"Mumbai, Maharashtra",R027,Pizza,4,25 min,1532.32,Card,5,Pending,7923,
ORD0137,08-12-2023, Lalit Yadav ,"Hyderabad, Telangana",R014,Biriyani,4,60 min,1238.68,Cash,3,Delivered,5876,
ORD0138,06-11-2023, Sneha Kulkarni ,"Hyderabad, Telangana",R014,pizza,6,40 min,1575.3,UPI,2,Cancelled,3637,
ORD0139,02-10-2023,Rahul Sharma  ,"Delhi, Delhi",R005,Samosa,6,78 min,312.36,UPI,1,Delivered,8760,
ORD0140,01-18-2024,Meera Dubey  ,"Bhopal, Madhya Pradesh",R030,Biryani,3,55 min,639.3,Cash,1,Cancelled,9330,
ORD0141,05-25-2023,  Rohit Verma,"Jaipur, Rajasthan",R018,pasta,5,74 min,1392.95,Cash,2,Delivered,3482,
ORD0142,15-06-2024,Meera Dubey  ,"Bhopal, Madhya Pradesh",R025,Tacos,2,82 min,668.18,Card,4,Pending,1146,
ORD0143,10-07-2023,Lalit Yadav  ,"Ahmedabad, Gujarat",R008,Paneer Tikka,5,67 min,1841.05,Cash,3,Pending,8661,
ORD0144,02-14-2025,Priya Patil,"Ahmedabad, Gujarat",R012,biryani,5,81 min,1235.4,Card,3,Delivered,1062,
ORD0145,06-24-2024,Arjun Menon,"Hyderabad, Telangana",R005,biryani,1,40 min,301.7,Cash,5,Delivered,5661,
ORD0146,22-03-2024,Ravi Pillai,"Pune, Maharashtra",R012,Burger,3,51 min,566.73,Cash,3,Pending,9430,
ORD0147,31-08-2024,Pooja Desai,"Lucknow, Uttar Pradesh",R020,PIZZA,5,73 min,1340.8,Cash,4,Delivered,8713,
ORD0148,29-06-2023,  Priya Patil,"Delhi, Delhi",R022,Samosa,2,36 min,61.88,Cash,2,cancel,5122,
ORD0149,21-06-2024,Neha Jain,"Bhopal, Madhya Pradesh",R015,Pasta,3,78 min,636.15,Cash,4,Delivered,5172,
ORD0150,07-09-2024, Swati Bhatt ,"Indore, Madhya Pradesh",R001,burger,3,90 min,567.36,UPI,5,Pending,2070,
ORD0151,11-04-2023,Vikas Mehta,"Chennai, Tamil Nadu",R002,Paneer Tikka,4,79 min,1087.16,UPI,5,Pending,2763,
ORD0152,26-12-2023,Anjali Rao,"Jaipur, Rajasthan",R003,pizza,50,26 min,1055.52,Card,2,Pending,6998,
ORD0153,15-05-2023, Suresh Nair ,"Patna, Bihar",R001,White Sauce Pasta,2,61 min,406.26,UPI,4,Cancelled,3956,
ORD0154,30-08-2023,Meera Dubey,"Kolkata, West Bengal",R001,PASTA,6,75 min,1205.94,UPI,4,Delivered,5212,
ORD0155,29-11-2023,Tushar Shah,"Indore, Madhya Pradesh",R016,Dal Makhani,3,75 min,876.63,UPI,3,Pending,7861,
ORD0156,25-11-2024,Sanjay Gupta,"Chennai, Tamil Nadu",R006,Pizza,5,78 min,2267.25,UPI,4,delivered,2427,
ORD0157,09-10-2023,Rekha Nambiar  ,"Delhi, Delhi",R025,burger,4,50 min,559,Cash,1,Pending,6523,
ORD0158,04-02-2023,Vikas Mehta  ,"Ahmedabad, Gujarat",R017,pasta,3,41 min,611.16,Card,2,Delivered,2320,
ORD0159,18-08-2024,Vijay Naik,"Mumbai, Maharashtra",R004,Burger,4,60 min,533.96,UPI,2,Delivered,8331,
ORD0160,07-12-2024, Arjun Menon ,"Delhi, Delhi",R019,Tacos,2,51 min,614.96,Cash,5,Delivered,5407,
ORD0161,01-09-2024,  Ganesh Kadam,"Patna, Bihar",R023,Burgr,3,60 min,413.31,UPI,3,cancel,7475,
ORD0162,08-09-2024, Vikas Mehta ,"Indore, Madhya Pradesh",R030,PASTA,3,25 min,1086.96,Card,2,Delivered,7604,
ORD0163,05-10-2023,  Arjun Menon,"Kolkata, West Bengal",R009,Spring Rolls,6,62 min,1415.34,Card,4,Pending,1150,
ORD0164,25-01-2023,Ravi Pillai,"Bhopal, Madhya Pradesh",R015,Idli,50,56 min,188.74,Card,5,Cancelled,1334,
ORD0165,28-01-2023,Vikas Mehta,"Kolkata, West Bengal",R018,Biriyani,6,67 min,1445.82,UPI,2,Cancelled,9934,
ORD0166,28-03-2023,Kavita Reddy,"Pune, Maharashtra",R030,Chole Bhature,3,23 min,480.6,UPI,2,Pending,8485,
ORD0167,12-12-2024, Rahul Sharma ,"Hyderabad, Telangana",R009,Noodles,60,86 min,228.22,Cash,2,delivered,7761,
ORD0168,09-24-2024,Priya Patil,"Ahmedabad, Gujarat",R028,PIZZA,4,46 min,1802.12,UPI,5,delivered,7703,
ORD0169,30-10-2023,Tushar Shah,"Mumbai, Maharashtra",R023,Birny,6,90 min,1892.16,Cash,1,Pending,4871,
ORD0170,07-23-2024,Harish Shetty  ,"Pune, Maharashtra",R026,Burger,60,43 min,151.28,Card,1,cancel,8138,
ORD0171,26-09-2023,Deepa Iyer,"Delhi, Delhi",R028,Chole Bhature,1,43 min,141.75,UPI,5,Pending,3653,
ORD0172,01-01-2024,  Pooja Desai,"Kolkata, West Bengal",R023,biryani,35,52 min,556.22,UPI,4,Delivered,2652,
ORD0173,27-04-2023,  Suresh Nair,"Bhopal, Madhya Pradesh",R002,Fried Rice,3,39 min,722.88,Card,1,cancel,7258,
ORD0174,13-10-2023,Lalit Yadav,"Patna, Bihar",R021,Biryani,3,30 min,892.14,UPI,4,Delivered,9216,
ORD0175,14-04-2023,Ravi Pillai,"Surat, Gujarat",R027,Pasta,4,25 min,1594.64,Card,3,cancel,4427,
ORD0176,29-10-2024,  Pankaj Tiwari,"Mumbai, Maharashtra",R030,pizza,4,33 min,1896.12,Cash,4,Cancelled,3437,
ORD0177,21-01-2023,Sneha Kulkarni,"Patna, Bihar",R007,Birny,1,74 min,221.71,Card,1,Cancelled,5949,
ORD0178,03-05-2023,Suresh Nair,"Pune, Maharashtra",R017,burger,2,28 min,487.04,Card,2,Pending,4077,
ORD0179,09-09-2023,Arjun Menon,"Surat, Gujarat",R013,Chole Bhature,35,89 min,341.08,Card,4,delivered,8571,
ORD0180,11-06-2023,Anjali Rao,"Mumbai, Maharashtra",R003,Spring Rolls,2,37 min,283.04,UPI,4,Delivered,5393,
ORD0181,12-04-2024,  Swati Bhatt,"Patna, Bihar",R013,Samosa,35,89 min,73.83,UPI,4,Cancelled,7361,
ORD0182,17-01-2023,Divya Mishra,"Jaipur, Rajasthan",R009,Manchurian,1,73 min,252.01,Cash,5,Pending,6960,
ORD0183,24-03-2024,Pooja Desai  ,"Chennai, Tamil Nadu",R022,Burger,4,75 min,546.28,Card,2,Cancelled,8825,
ORD0184,27-02-2024,Anita Singh,"Kolkata, West Bengal",R025,Burger,2,28 min,563.56,UPI,2,Delivered,3942,
ORD0185,01-07-2025,Anjali Rao,"Mumbai, Maharashtra",R015,Noodles,5,57 min,966,UPI,5,cancel,8275,
ORD0186,26-03-2025,Rahul Sharma  ,"Chennai, Tamil Nadu",R001,Chole Bhature,2,21 min,207.6,Cash,5,Cancelled,4854,
ORD0187,04-19-2023, Suresh Nair ,"Nagpur, Maharashtra",R005,Dosa,1,89 min,129.11,Card,5,Cancelled,4244,
ORD0188,11-03-2024,Sneha Kulkarni,"Delhi, Delhi",R027,Burgers,3,76 min,737.76,UPI,3,Pending,2731,
ORD0189,08-07-2024, Arjun Menon ,"Pune, Maharashtra",R025,Biryani,6,82 min,2056.8,UPI,2,Delivered,8734,
ORD0190,07-14-2023,Sanjay Gupta,"Surat, Gujarat",R022,Paneer Tikka,60,75 min,294.67,Card,2,Pending,7584,
ORD0191,14-03-2023,Sunita Sawant  ,"Indore, Madhya Pradesh",R028,Burger,6,38 min,1236.6,Card,2,Pending,2377,
,,,,,,,,,,,,,
ORD0192,08-02-2024, Divya Mishra ,"Mumbai, Maharashtra",R017,Piza,5,36 min,1726.15,Card,1,cancel,3252,
ORD0193,23-09-2023,  Suresh Nair,"Hyderabad, Telangana",R028,pasta,2,71 min,431.92,Cash,1,delivered,6961,
ORD0194,10-04-2024,Sunita Sawant,"Patna, Bihar",R010,Paneer Tikka,6,90 min,2598.42,Cash,5,Pending,6879,
ORD0195,07-08-2024, Vikas Mehta ,"Bangalore, Karnataka",R001,burger,6,81 min,1190.88,Card,4,delivered,7819,
ORD0196,19-02-2025,  Kavita Reddy,"Pune, Maharashtra",R021,pizza,5,80 min,2508.7,Cash,2,Delivered,2831,
